  200 IASWEACI.WP1   43.42  -94.35   IA SWEA CITY 5NW
  201 IDARBON.WP1    42.50 -112.57   ID ARBON 2NW
  202 IDARROWR.WP1   43.60 -115.92   ID ARROWROCK DAM
  203 IDBRUNEA.WP1   42.88 -115.80   ID BRUNEAU
  204 IDBURLEY.WP1   42.53 -113.77   ID BURLEY CAA AP
  205 IDCAMBRI.WP1   44.57 -116.68   ID CAMBRIDGE
  206 IDCOBALT.WP1   45.08 -114.23   ID COBALT
  207 IDCRATER.WP1   43.47 -113.57   ID CRATERS OF MOON NM
  208 IDDEADWO.WP1   44.32 -115.63   ID DEADWOOD DAM
  209 IDDEERFL.WP1   43.58 -116.75   ID DEER FLAT DAM
  210 IDDUBOIS.WP1   44.25 -112.20   ID DUBOIS EXP STA
  211 IDFAIRFI.WP1   43.35 -114.80   ID FAIRFIELD  R S
  212 IDFENNRS.WP1   46.10 -115.55   ID FENN RS
  213 IDIDAHOF.WP1   43.52 -112.07   ID IDAHO FALLS CAA AP
  214 IDISLAND.WP1   44.42 -111.40   ID ISLAND PARK DAM
  215 IDMAYRS.WP1    44.60 -113.92   ID MAY RS
  216 IDMONTPE.WP1   42.32 -111.30   ID MONTPELIER R S
  217 IDOROFIN.WP1   46.48 -116.25   ID OROFINO
  218 IDPALISA.WP1   43.37 -111.23   ID PALISADES DAM
  219 IDRIGGIN.WP1   45.42 -116.32   ID RIGGINS RS
  220 IDSAINTM.WP1   47.32 -116.57   ID SAINT MARIES
  221 IDSALMON.WP1   45.18 -113.90   ID SALMON 1N
  222 IDSANDPO.WP1   48.28 -116.57   ID SANDPOINT EXP STA
  223 IDSTANLE.WP1   44.22 -114.93   ID STANLEY
  224 IDTWINFA.WP1   42.55 -114.35   ID TWIN FALLS WS0
  225 IDWALLAC.WP1   47.50 -115.88   ID WALLACE WDLND PK
  226 IDWARREN.WP1   45.27 -115.67   ID WARREN
  227 ILAURORA.WP1   41.75  -88.33   IL AURORA COLLEGE
  228 ILCARBON.WP1   37.72  -89.22   IL CARBONDALE AIRPORT
  229 ILCHICAG.WP1   41.78  -87.75   IL CHICAGO WB AIRPORT
  230 ILELGIN.WP1    42.03  -88.28   IL ELGIN
  231 ILFAIRFI.WP1   38.38  -88.37   IL FAIRFIELD
  232 ILFARMER.WP1   40.23  -88.63   IL FARMER CITY
  233 ILGALESB.WP1   40.95  -90.37   IL GALESBURG
  234 ILGRIGGS.WP1   39.72  -90.73   IL GRIGGSVILLE
  235 ILHARRIS.WP1   37.73  -88.53   IL HARRISBURG
